DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,FSTVL_PROGRM_NM,FSTVL_PROGRM_DC,REGIST_DE,CORE_KWRD_CN,OPN_DE
1,한방문화의 세계화를 지향하는 서울약령시 한방문화축제,"서울약령시 한방문화축제는 서울특별시 제기동에 있는 서울 경동약령시 전통 한약 시장 일대에서 한방을 주제로 개최되는 축제이다. 조선시대 진료 및 구휼기관인 보제원이 있던 제기동은 1960년대에 경동시장이 생겨 종로의 한약상들이 옮겨왔다. 1995년 서울시가 약령시장으로 정식 승인했고, 이를 계기로 매년 10월 축제가 개최된다. 서울약령시 한방문화축제에선 보제원 무료 진료, 외국인을 위한 한의약 체험 등의 행사가 이루어진다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/165/30219/17132/c/110_-2019-서울악령시-한방축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/487,서울특별시,동대문구,서울 동대문구 제기동 1126-5,보제원 제향의식,축제의 개막을 알리는 연례 행사로 한방문화의 계승과 발전을 위한 보제원 제향의식이다.,20191021,"약령시, 한방, 보제원",20220330
2,황도수확기에 벌이는 농촌체험축제 '햇사레장호원복숭아축제',"경기도 이천시 장호원읍은 쌀과 복숭아 생산에 적합한 토양을 갖추고 있다. 장호원에서 생산되는 복숭아는 “햇사레 복숭아”라는 브랜드를 달고 있다. 햇사레 복숭아 중 맛과 향이 뛰어난 장호원 황도를 홍보하는 축제를 매년 9월 중순경에 베푼다. 1996년 제1회를 시작으로, 백도 보다 늦은 황도 수확기에 장호원 농산물 유통센터에서 개최되는데, 장호원 황도를 직접 맛보고, 이천의 여러 농가를 체험할 수 있어 맛과 즐거움이 함께 하는 축제이다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/234/30288/18382/c/187_-제-23회-햇사레장호원복숭아축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/112,경기도,이천시,경기 이천시 장호원읍 장호원리 332-4,복숭아품평회,복숭아품평회는 20년 넘게 지속되고 있으며 장호원황도 품평회와 품종전시회가 함께 개최된다. 출품된 복숭아 중 좋은 성적을 거둔 농가의 복숭아가 전시되며 다양한 품종의 복숭아들을 만나볼 수 있는 자리다.,20191017,"황도, 햇사레",20220330
3,봄이 가장 먼저 오는 응봉산개나리축제,"응봉산개나리축제는 서울특별시 성동구 응봉동에 있는 응봉산에서 열리는 개나리를 주제로 한 지역축제이다. 응봉산은 매의 머리를 닮았다고 해서 붙여진 이름인데, 1980년대 도시 개발로 산이 깍여 본래의 모양을 찾기 어렵게 되었다. 개발로 인해 산자락 모래흙이 흘러내리자, 이를 방지하기 위해 개나리를 심기 시작했고, 지금은 약 20만 그루의 개나리가 심어져 응봉산은 개나리 동산이 되었다. 응봉산개나리축제에선 어린이 그림 그리기와 글짓기 대회가 열리고 음악회, 먹거리 장터, 페이스 페인팅 등의 프로그램이 운영된다.",자연축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/225/30279/18373/c/177_-2019-응봉산-개나리축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/492,서울특별시,성동구,서울 성동구 응봉동 269-4,응봉산암벽등반체험,응봉산 인공암벽 등반시설에서 체험을 할 수 있는 행사이다.,20191021,"개나리, 응봉산, 봄, 서울숲",20220330
4,"대동굿에서 시작된 호국문화제, 남한산성문화제","경기도 남한산성도립공원은 백제의 도읍지이잔 병자호란 당시 국난 극복의 장소라는 역사성에 초점을 맞추어 개최되는 축제이다. 1996년에 시작하여 해마다 10월에 광주시 남한산성 유적지에서 열린다. 원래 마을의 대동굿이었던 것을 2001년도에 광주시의 축제로 승격시켰다. 출정식으로 시작되어 호국(護國)문화제의 성격이 강하지만, '아! 남한산성' 같은 창작뮤지컬을 발굴하기도 했다. 2019년 경기관광 대표축제로 선정되었다.",전통·역사 축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/233/30287/18381/c/186_-2019-광주남한산성문화제-thumb.jpg,https://ncms.nculture.org/local-festival/story/103,경기도,광주시,경기 광주시 남한산성면 산성리 563,행궁문화마당,"행궁마당에서는 여러가지 퍼포먼스가 상설로 진행되는데 그중 하나는 왕실시찰 퍼포먼스로 왕과 왕비가 신하, 궁녀, 내시들과 함께 왕의 시찰을 재현한 것이다.",20191017,"남한산성, 병자호란, 원흔위무, 대동굿, 매당왕신 대동굿",20220330
5,건강과 맛을 부르는 ‘청양고추구기자축제’,"충청남도 청양군은 칠갑산을 비롯한 높은 산봉우리가 평야를 둘러싸고 있는 분지형 지역으로, 밤낮의 기온차가 크고, 배수가 좋아 과일의 결실이 좋다. 지역 특산물인 고추의 과피는 두껍고, 맛과 색깔이 좋고, 구기자는 열매가 크고 살이 많다. 특산물을 홍보하기 위해 청양시에서 2000년부터 ‘청양고추구기자축제’를 개최하고 있다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/182/30236/17149/c/127_-2019-청양고추-구기자축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/121,충청남도,청양군,충남 청양군 청양읍 벽천리 222-1,"1000원의 행복, 고추를 담아라",관광객들의 인기를 독차지한 이벤트다. 비닐봉지를 들고 넓게 깔려있는 홍고추를 주워 담는다.,20191017,"청양고추, 구기차, 명품고추, 산야초",20220330
6,푸른 바다를 보며 갓 볶은 커피를 음미하는 '강릉커피축제',"강릉은 우리나라 커피 문화 1번지다. 강릉 대부분의 커피집이 로스팅을 하며, 1세대 바리스타들이 포진하고 있다. 강릉커피축제는 2009년에 시작되었으며 매년 10월 강릉시 전역에서 개최된다. 가을 바다를 바라보며 갓 볶은 고급 커피를 즐길 수 있는 감성 문화 축제로, 커피집을 다니며 스탬프 랠리를 하고, 100인의 바리스타들이 제각각 다른 맛의 커피를 내려준다.",지역음식축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/70/30123/16057/c/022_2019-강릉커피축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/242,강원도,강릉시,강원도 강릉시 포남동 산90-1,100人 100味 바리스타 퍼포먼스,100명의 바리스타가 100여가지의 커피 맛을 낸다는 컨셉으로 강릉커피축제의 대표적인 퍼포먼스다.,20191018,"강릉, 커피, 축제, 로스팅, 바리스타",20220330
7,"신명나는 장터, 파시를 체험하라 '목포항구축제'","목포는 1897년 개항한 항구도시로, 과거 전국 3대항이자 6대 도시였다. 현재는 서남해안의 배후 중심도시이다. 목포의 근대역사와 해양문화를 보존하고 알리기 위해 열리는 목포항구축제는 파시를 중심으로 승성체험, 선상경매체험, 한선 제작 등을 해볼 수 있다. 전통과 현대가 적절하게 가미된 흥겨운 축제가 만족도를 높인다.",지역명소축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/92/30146/16088/c/040_2019-목포항구축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/255,전라남도,목포시,전라남도 목포시 산정동 1480-2,1897 풍어파시길놀이,1897년에 개항한 목포항을 기념하여 진행하는 길놀이다. 축제의 시작을 알리는 행사이기도 하며 만선을 기원하는 행렬이 퍼레이드가 된다.,20191018,"목포, 항구, 축제, 해양문화축제, 삼학도, 지역명소",20220330
8,전세계 거리극들 다 모여라! 과천축제,"과천축제는 1997년 세계마당극 큰잔치로 시작하여 2012년에 과천축제로 이름을 변경하고 지금까지 매년 9월에 개최되고 있는 축제이다. 과천축제는 아시아 최초의 거리예술 축제이며 공연예술축제이다. 거리가 무대인 국내외 마당극, 거리극, 야외극을 중심으로 공식 선정작품과 자유참가작품을 받아 공연하고 있다. 한때 과천축제가 시민들을 위한 축제라기보단 작품을 공연하는 행사라는 비판이 제기되었고 이를 겸허히 받아들여 시민들을 위한 공연예술제로 거듭나기 위해 노력한 끝에 성공적인 시민축제로 안착했다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/218/30272/17382/c/169_-2019-과천한마당축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/411,경기도,과천시,경기 과천시 통영로 5,2020 과천 라이딩 몸플 / Relay Riding Momple,"창작집단 움스에서 선보이는 무대 위의 한 대의 자전거, 시민들이 교대로 발판을 밟으며 모두를 응원한다는 의미를 가진 춤 난장 퍼포먼스. (2020)",20191021,"거리예술, 공연문화예술, 전통연희",20220330
9,국내 유일의 보석축제 '익산보석대축제',"익산보석대축제는 보석을 주제로 다양한 체험과 판매, 전시 등이 진행되는 축제이다. 약 60개의 보석 전문 업체들이 선보이는 보석들을 만나볼 수 있을 뿐만 아니라 30퍼센트 특별할인가로 보석들을 저렴하게 구입할 수 있다. 이밖에 세계적인 수준의 ‘보석박물관’을 비롯한 주변의 관광명소를 둘러볼 수 있다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/114/30168/17035/c/061_2019-익산보석대축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/357,전라북도,익산시,전라북도 익산시 왕궁면 동용리 541-1,30% 특별할인,24K 순금과 다이아몬드를 제외한 모든 보석류를 특별할인 30%가 된 가격에 구입할 수 있는 행사다.,20191021,"익산, 축제, 보석, 주얼팰리스, 보석박물관",20220330
10,청계천에서 펼쳐지는 서울빛초롱축제,"서울빛초롱축제는 2009년부터 서울특별시 청계광장 및 청계천 일대에서 개최되는 빛 축제이다. 2009년 ‘한국 방문의 해’를 기념하여 ‘서울등축제’로 시작했다가, 연례화하면서 진주시의 진주남강유등축제 측과 갈등이 빚어졌다. 두 시는 실무협의를 통해 서울등축제라는 이름을 서울빛초롱축제로 바꾸고, 콘텐츠도 차별화하기로 했다. 복원된 청계천에서 펼쳐지는 서울빛초롱축제는 매년 11월 첫주부터 셋째주까지 17일 동안 열린다.",이색축제,https://minio.nculture.org/amsweb-opt/multimedia_assets/160/30214/17127/c/102_-2019-서울빛초롱축제-thumb.jpg,https://ncms.nculture.org/local-festival/story/486,서울특별시,동대문구,서울 동대문구 용두동 701-6,AR 전시,빛초롱축제 공식 홈페이지에서 주요 작품을 AR전시를  통해 즐길 수 있다.,20191021,"등, 빛, 한국 방문의 해, 청계천",20220330
