FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,BASE_DE
강릉오죽한옥마을,강원도 강릉시 죽헌길 114(죽헌동),42,42150,128.878612,37.777114,강원,http://www.ojuk.or.kr,033-655-1117,2021-12-31
동해망상 해변한옥촌,강원도 동해시 동해대로 6370(망상동),42,42170,129.077946,37.600923,강원,http://www.campingkorea.or.kr,033-539-3600,2021-12-31
동해한옥 동안재,강원도 동해시 천곡1길 74-2(천곡동),42,42170,129.108386,37.528262,강원,http://www.donganjae.com,,2021-12-31
태백산 한옥펜션,강원도 태백시 소롯골길 34(소도동),42,42190,128.951989,37.134189,강원,http://www.ok114.co.kr/0335522367,033-552-2367,2021-12-31
화천한옥학교,강원도 화천군 간동면 모현동로 182-35,42,42790,127.789274,38.038838,강원,http://www.hanokschool.co.kr,033-442-3366,2021-12-31
다가가다한옥,강원도 화천군 화천읍 평화로 167,42,42790,127.725682,38.096749,강원,https://dagagadahanok.modoo.at/,033-441-1488,2021-12-31
한국민속촌,경기 용인시 기흥구 민속촌로 90 한국민속촌,41,41463,127.120657,37.259318,경기,http://www.koreanfolk.co.kr/,031-2888-0000,2021-12-31
김포아트빌리지 전통한옥숙박체험관,경기 김포시 모담공원로 170,41,41570,126.697077,37.646822,경기,http://gimpoartvillage.or.kr/main/?mc_code=181010,031-996-6836,2021-12-31
신풍재,경기 수원시 팔달구 화서문로42번길 34(신풍동),41,41115,127.01351,37.283857,경기,,,2021-12-31
양평이포한옥,경기 양평군 개군면 여양로 2114,41,41830,127.540169,37.413337,경기,,,2021-12-31
예직한옥체험마을,경기 용인시 처인구 예직로 24-28(호동),41,41461,127.257734,37.18897,경기,http://www.yejik.co.kr/,,2021-12-31
황토한옥힐링타운,경기 용인시 처인구 운학로115번길 22-9(운학동),41,41461,127.258489,37.206249,경기,,,2021-12-31
가람나무,경기 파주시 소라지로327번길 126-20(송촌동),41,41480,126.68872,37.754596,경기,http://www.karamnamu.com/,,2021-12-31
황산전통한옥마을 신인범 가옥,경상남도 거창군 위천면 황산1길 101,48,48880,127.837542,35.762955,경남,,055-943-0003,2021-12-31
김해한옥체험관,경상남도 김해시 가락로93번길 40(봉황동) 김해한옥체험관,48,48250,128.876931,35.234189,경남,https://www.ghhanok.or.kr/index.do,055-322-4735,2021-12-31
얼음골한옥펜션&캠핑장,경상남도 밀양시 산내면 하양지안길 11-12(산내면),48,48270,128.953425,35.598427,경남,http://hanokpension.com/,055-356-3596,2021-12-31
안정궁 관광 한옥 펜션,경상남도 통영시 광도면 안정2길 95,48,48220,128.397913,34.945411,경남,https://anjeong.modoo.at/,,2021-12-31
평심제 한옥 황토 펜션,경상남도 통영시 우포2길 142(평림동) 평신제 한옥 황토 펜션,48,48220,128.390225,34.852332,경남,,055-648-0997,2021-12-31
