DATA_MANAGE_NO,DATA_TITLE_NM,SUMRY_CN,SBJT_NM,MAIN_THUMB_URL,CNTNTS_URL,ERA_NM,CTPRVN_NM,SIGNGU_NM,ADDR,RELATE_RSTRNT_NM,RSTRNT_TEL_NO,RSTRNT_ADDR,REGIST_DE,CORE_KWRD_CN,OPN_DE
1,"‘구름을 삼키는 맛’ 부산의 별미, 부용동 완당",부산 완당은 중국 광동지역의 만둣국인 ‘훈뚠(渾沌)’이 일본에 전래되어 ‘완탕(ワンタン)’으로 정착된 음식에서 유래한다. 우리나라에서는 해방 후 일본에서 완당 만드는 법을 배워 온 이은철 씨가 1947년 중구 보수동에 포장마차를 연 것이 효시이다. 1956년에는 서구 부용동에 ‘18번식당’을 개업한 이래 아들과 손자 3대에 걸쳐 가업으로 계승하고 있다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/10/85705/92746/c/%EB%B6%80%EC%9A%A9%EB%8F%99-%EC%99%84%EB%8B%B9-%EC%9D%8C%EC%8B%9D-%283%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/690,현대-현대(1945.8.15~현재),부산광역시,서구,부산 서구 구덕로238번길 6,원조18번완당,0512563391,부산 서구 구덕로238번길 6,20191122,"부산, 완당, 완탕, 혼돈, 향토음식, 만둣국",20220630
2,전국의 포장마차를 제패했던 부산 자갈치시장 꼼장어구이,자갈치 꼼장어구이는 먹장어를 매운 양념에 채소와 버무려서 구워 먹는 부산광역시 자갈치시장의 향토음식이다. 꼼장어는 먹장어의 경상도 방언으로 부산광역시 기장군의 대표적인 수산물이다. 해방이후 일본에서 돌아와 부산에 정착한 귀국동포들이 충무동 바닷가에 좌판을 벌여 판매하였던 것에서 비롯되었다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/249/85694/92683/c/%EA%BA%BC%EB%A8%B9%EB%8F%99%EB%84%A4-%EC%9E%A5%EC%96%B4%EA%B5%AC%EC%9D%B4-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/691,현대-현대(1945.8.15~현재),부산광역시,중구,부산광역시 중구 남포동 자갈치해안로 52 자갈치시장,75년 전통원조할매꼼장어,0512476923,부산 중구 자갈치해안로 49-1,20191122,"꼼장어, 꼼장어구이, 먹장어, 자갈치시장, 향토음식",20220630
3,전국의 포장마차를 제패했던 부산 자갈치시장 꼼장어구이,자갈치 꼼장어구이는 먹장어를 매운 양념에 채소와 버무려서 구워 먹는 부산광역시 자갈치시장의 향토음식이다. 꼼장어는 먹장어의 경상도 방언으로 부산광역시 기장군의 대표적인 수산물이다. 해방이후 일본에서 돌아와 부산에 정착한 귀국동포들이 충무동 바닷가에 좌판을 벌여 판매하였던 것에서 비롯되었다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/249/85694/92683/c/%EA%BA%BC%EB%A8%B9%EB%8F%99%EB%84%A4-%EC%9E%A5%EC%96%B4%EA%B5%AC%EC%9D%B4-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/691,현대-현대(1945.8.15~현재),부산광역시,중구,부산광역시 중구 남포동 자갈치해안로 52 자갈치시장,광진산꼼장어,0512550604,부산 중구 자갈치해안로 53-1,20191122,"꼼장어, 꼼장어구이, 먹장어, 자갈치시장, 향토음식",20220630
4,전국의 포장마차를 제패했던 부산 자갈치시장 꼼장어구이,자갈치 꼼장어구이는 먹장어를 매운 양념에 채소와 버무려서 구워 먹는 부산광역시 자갈치시장의 향토음식이다. 꼼장어는 먹장어의 경상도 방언으로 부산광역시 기장군의 대표적인 수산물이다. 해방이후 일본에서 돌아와 부산에 정착한 귀국동포들이 충무동 바닷가에 좌판을 벌여 판매하였던 것에서 비롯되었다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/249/85694/92683/c/%EA%BA%BC%EB%A8%B9%EB%8F%99%EB%84%A4-%EC%9E%A5%EC%96%B4%EA%B5%AC%EC%9D%B4-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/691,현대-현대(1945.8.15~현재),부산광역시,중구,부산광역시 중구 남포동 자갈치해안로 52 자갈치시장,원조 73년 3대 엄마집숯불꼼장어,0512552209,부산 중구 자갈치해안로 47-2,20191122,"꼼장어, 꼼장어구이, 먹장어, 자갈치시장, 향토음식",20220630
5,전국의 포장마차를 제패했던 부산 자갈치시장 꼼장어구이,자갈치 꼼장어구이는 먹장어를 매운 양념에 채소와 버무려서 구워 먹는 부산광역시 자갈치시장의 향토음식이다. 꼼장어는 먹장어의 경상도 방언으로 부산광역시 기장군의 대표적인 수산물이다. 해방이후 일본에서 돌아와 부산에 정착한 귀국동포들이 충무동 바닷가에 좌판을 벌여 판매하였던 것에서 비롯되었다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/249/85694/92683/c/%EA%BA%BC%EB%A8%B9%EB%8F%99%EB%84%A4-%EC%9E%A5%EC%96%B4%EA%B5%AC%EC%9D%B4-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/691,현대-현대(1945.8.15~현재),부산광역시,중구,부산광역시 중구 남포동 자갈치해안로 52 자갈치시장,제일산꼼장어장어구이,0512458990,부산 중구 자갈치해안로 65,20191122,"꼼장어, 꼼장어구이, 먹장어, 자갈치시장, 향토음식",20220630
6,전국의 포장마차를 제패했던 부산 자갈치시장 꼼장어구이,자갈치 꼼장어구이는 먹장어를 매운 양념에 채소와 버무려서 구워 먹는 부산광역시 자갈치시장의 향토음식이다. 꼼장어는 먹장어의 경상도 방언으로 부산광역시 기장군의 대표적인 수산물이다. 해방이후 일본에서 돌아와 부산에 정착한 귀국동포들이 충무동 바닷가에 좌판을 벌여 판매하였던 것에서 비롯되었다.,지역 향토 음식,https://minio.nculture.org/amsweb-opt/multimedia_assets/249/85694/92683/c/%EA%BA%BC%EB%A8%B9%EB%8F%99%EB%84%A4-%EC%9E%A5%EC%96%B4%EA%B5%AC%EC%9D%B4-%281%29_rev-thumb.jpg,https://ncms.nculture.org/food/story/691,현대-현대(1945.8.15~현재),부산광역시,중구,부산광역시 중구 남포동 자갈치해안로 52 자갈치시장,주연네곰장어,0512556889,부산 중구 자갈치해안로 61 부림프라자,20191122,"꼼장어, 꼼장어구이, 먹장어, 자갈치시장, 향토음식",20220630
7,"청정 한우의 본연의 맛을 그대로 즐긴다, 광주 생고기",광주 생고기는 신선한 한우의 우둔살을 곱게 썰어 기름장 등에 찍어 먹는 광주광역시의 향토음식이다. 생고기 식용의 전통은 중국의 유교경전인 『맹자(孟子)』에 '회자(膾炙)'라는 말로 언급될 정도로 오랜 역사를 지녔다. 회자에서 ‘膾’는 생고기를 말하며 ‘炙’는 익힌 고기를 말한다. 이런 점에서 광주 생고기는 육고기 회(膾)의 원형을 제대로 계승한 음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/692,현대-현대(1945.8.15~현재),광주광역시,서구,광주광역시 서구 내방로 111,대원축산,0623858589,광주 서구 회재로 835,20191122,"광주, 생고기, 육회, 향토음식",20220630
8,"청정 한우의 본연의 맛을 그대로 즐긴다, 광주 생고기",광주 생고기는 신선한 한우의 우둔살을 곱게 썰어 기름장 등에 찍어 먹는 광주광역시의 향토음식이다. 생고기 식용의 전통은 중국의 유교경전인 『맹자(孟子)』에 '회자(膾炙)'라는 말로 언급될 정도로 오랜 역사를 지녔다. 회자에서 ‘膾’는 생고기를 말하며 ‘炙’는 익힌 고기를 말한다. 이런 점에서 광주 생고기는 육고기 회(膾)의 원형을 제대로 계승한 음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/692,현대-현대(1945.8.15~현재),광주광역시,서구,광주광역시 서구 내방로 111,밤실마을,0622695290,광주 북구 밤실로 163-9,20191122,"광주, 생고기, 육회, 향토음식",20220630
9,"청정 한우의 본연의 맛을 그대로 즐긴다, 광주 생고기",광주 생고기는 신선한 한우의 우둔살을 곱게 썰어 기름장 등에 찍어 먹는 광주광역시의 향토음식이다. 생고기 식용의 전통은 중국의 유교경전인 『맹자(孟子)』에 '회자(膾炙)'라는 말로 언급될 정도로 오랜 역사를 지녔다. 회자에서 ‘膾’는 생고기를 말하며 ‘炙’는 익힌 고기를 말한다. 이런 점에서 광주 생고기는 육고기 회(膾)의 원형을 제대로 계승한 음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/692,현대-현대(1945.8.15~현재),광주광역시,서구,광주광역시 서구 내방로 111,송정금호축산,0629730155,광주 광산구 첨단강변로 95,20191122,"광주, 생고기, 육회, 향토음식",20220630
10,"청정 한우의 본연의 맛을 그대로 즐긴다, 광주 생고기",광주 생고기는 신선한 한우의 우둔살을 곱게 썰어 기름장 등에 찍어 먹는 광주광역시의 향토음식이다. 생고기 식용의 전통은 중국의 유교경전인 『맹자(孟子)』에 '회자(膾炙)'라는 말로 언급될 정도로 오랜 역사를 지녔다. 회자에서 ‘膾’는 생고기를 말하며 ‘炙’는 익힌 고기를 말한다. 이런 점에서 광주 생고기는 육고기 회(膾)의 원형을 제대로 계승한 음식이다.,지역 향토 음식,,https://ncms.nculture.org/food/story/692,현대-현대(1945.8.15~현재),광주광역시,서구,광주광역시 서구 내방로 111,유명회관,0625125574,광주 북구 금남로131번길 18,20191122,"광주, 생고기, 육회, 향토음식",20220630
