FLAG_NM,FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,MENU_PRC,OPER_TIME,BASE_DE
템플스테이,영평사,세종특별자치시 장군면 영평사길 124,,,127.227574,36.47284,세종,http://kb5.templestay.com/index.asp?t_id=ypsa,044-854-1854,110 000,,2021-12-31

템플스테이,선운사,전라북도 고창군 아산면 선운사로 250(선운사),45,45790,126.578075,35.496939,전북,http://kb3.templestay.com/index.asp?t_id=sg9893,063-561-1375,60 000,,2021-12-31

템플스테이,건봉사,강원도 고성군 거진읍 건봉사로 723,42,42820,128.379259,38.402208,강원,http://kb1.templestay.com/index.asp?t_id=gunbongsa,033-682-8103,40 000,,2021-12-31
템플스테이,정토사,경기도 성남시 수정구 옛골로 42번길 3,41,41131,127.068119,37.426724,경기,http://kb1.templestay.com/index.asp?t_id=jungtosa,031-723-9797,50 000,,2021-12-31

템플스테이,선본사,경상북도 경산시 갓바위로699(선본사),47,47290,128.738894,35.987411,경북,http://kb2.templestay.com/index.asp?t_id=seonbonsa,053-851-1868,50 000,,2021-12-31

템플스테이,관음사(제주),제주특별자치도 제주시 산록북로 660(아라일동),50,50110,126.558101,33.423472,제주,http://kb1.templestay.com/index.asp?t_id=gwaneumsa,064-724-6830,60 000,,2021-12-31
템플스테이,구룡사,강원도 원주시 소초면 구룡사로 500,42,42130,128.049773,37.399452,강원,http://kb2.templestay.com/index.asp?t_id=guryongsa,033-731-0503,60 000,,2021-12-31

템플스테이,금산사,전라북도 김제시 금산면 모악15길 1,45,45210,127.053554,35.722946,전북,http://kb1.templestay.com/index.asp?t_id=geumsansa,,60 000,,2021-12-31

템플스테이,수원사,경기 수원시 팔달구 수원천로300,41,41115,127.018977,37.280542,경기,http://kb1.templestay.com/index.asp?t_id=suwonsa,,30 000,,2021-12-31
템플스테이,금룡사,제주특별자치도 제주시 구좌읍 김녕로 148-11,50,50110,126.753577,33.553816,제주,http://kb1.templestay.com/index.asp?t_id=kumyongsa,064-783-3663,50 000,,2021-12-31
템플스테이,실상사,전라북도 남원시 산내면 입석길 94-129(실상사),45,45190,127.635113,35.416737,전북,http://kb1.templestay.com/index.asp?t_id=silsangsa,063-636-3191,150 000,,2021-12-31

템플스테이,귀정사,전라북도 남원시 산동면 대상2길246,45,45190,127.45559,35.512455,전북,http://kb1.templestay.com/index.asp?t_id=gwijeongsa,063-626-0106,150 000,,2021-12-31

템플스테이,낙산사,강원도 양양군 강현면 낙산사로 100,42,42830,128.628297,38.124816,강원,http://kb1.templestay.com/index.asp?t_id=naksansa,033-672-2417,50 000,,2021-12-31
템플스테이,안국사,전라북도 무주군 적상면 산성로 1050,45,45730,127.69168,35.944756,전북,,063-322-6162,50 000,,2021-12-31
템플스테이,내원정사,부산광역시 서구 엄광산로40번길 80(서대신동3가),26,26140,129.012263,35.126463,부산,http://kb1.templestay.com/index.asp?t_id=naewonjungsa,051-254-3503,40 000,,2021-12-31

템플스테이,백련사(강진),전라남도 강진군 도암면 백련사길 145(백련사),46,46810,126.74759,34.588079,전남,http://kb1.templestay.com/index.asp?t_id=ildams,061-434-0837,50 000,,2021-12-31
템플스테이,옥천사,경상남도 고성군 개천면 연화산1로 471-9,48,48820,128.262282,35.080331,경남,http://www.okcheonsa.or.kr/,055-672-6296,70 000,,2021-12-31
템플스테이,대원사(가평),경기도 가평군 북면 백둔로 21-162 (대원사),41,41820,127.502514,37.894508,경기,http://kb2.templestay.com/index.asp?t_id=kathyy,031-582-0477,60 000,,2021-12-31
템플스테이,용문사(남해),경상남도 남해군 이동면 용문사길 166-11,48,48840,127.923113,34.787972,경남,http://kb2.templestay.com/index.asp?t_id=yongmunsanam,055-862-4425,50 000,,2021-12-31

템플스테이,백련사(가평),경기도 가평군 상면 샘골길 159-50 (백련사),41,41820,127.34963,37.783803,경기,http://kb1.templestay.com/index.asp?t_id=baekryunsa,031-585-3853,50 000,,2021-12-31
템플스테이,무위사,전라남도 강진군 성전면 무위사로308(무위사),46,46810,126.68684,34.738421,전남,http://www.muwisa.com/,061-432-4974,70 000,,2021-12-31
템플스테이,표충사,경상남도 밀양시 표충로 1338 (표충사),48,48270,128.850449,35.511695,경남,http://kb1.templestay.com/index.asp?t_id=pyochunsa,,60 000,,2021-12-31

템플스테이,능가사,전라남도 고흥군 점암면 팔봉길21,46,46770,127.414362,34.638708,전남,http://kb1.templestay.com/index.asp?t_id=neunggasa,061-832-8091,50 000,,2021-12-31
템플스테이,천은사,전라남도 구례군 광의면 노고단로 209,46,46730,127.47624,35.273876,전남,http://kb1.templestay.com/index.asp?t_id=choneunsa,,60 000,,2021-12-31

템플스테이,불국사,경상북도 경주시 불국로 385(진현동 불국사),47,47130,129.331319,35.790153,경북,http://kb1.templestay.com/index.asp?t_id=bgs9913,,80 000,,2021-12-31

