FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
라일라라일라,서울특별시 강남구 개포로 241 선모빌딩 5층,11,11680,127.048949,37.479121,서울,2021-12-31
늘솜또바기,서울특별시 강남구 개포로22길 12 2층 명준공방,11,11680,127.047867,37.47795,서울,2021-12-31
임희숙침선방,서울특별시 강남구 개포로22길 19,11,11680,127.048548,37.477766,서울,2021-12-31
백학조선민화연구소,서울특별시 강남구 도산대로11길 46 1층,11,11680,127.022462,37.520488,서울,2021-12-31
마인드플랫폼,서울특별시 강남구 도산대로81길 5 세영빌딩 3층,11,11680,127.047815,37.524822,서울,2021-12-31
havebeenseoul,서울특별시 강남구 봉은사로18길 17 1층,11,11680,127.030468,37.505002,서울,2021-12-31
고려아트샵,서울특별시 강남구 선릉로 704 12F  1258-5호(청담벤처프라자),11,11680,127.041399,37.517814,서울,2021-12-31
색깔꼬깔,서울특별시 강남구 테헤란로 114 역삼빌딩 16층,11,11680,127.029888,37.498248,서울,2021-12-31
스타기프트,서울특별시 강남구 테헤란로 152 강남파이낸스센터,11,11680,127.036504,37.500032,서울,2021-12-31
씽즈코리언,서울특별시 강남구 테헤란로 313,11,11680,127.045255,37.503789,서울,2021-12-31
유진아트,서울특별시 강남구 테헤란로 440 포스코 센터 지하1층,11,11680,127.056132,37.505822,서울,2021-12-31
김한섭 전통갑주연구소,서울특별시 강동구 천호대로168나길 3,11,11740,127.131278,37.535125,서울,2021-12-31
도담애공방,서울특별시 관악구 신림로58길 57 나동 도담공방,11,11620,126.933361,37.48254,서울,2021-12-31
너른마당,서울특별시 관악구 조원로 167 초원빌라7차,11,11620,126.920701,37.4862,서울,2021-12-31
매듭문화상품연구회,서울특별시 광진구 아차산로 379 송산빌딩,11,11215,127.084807,37.537035,서울,2021-12-31
에마임칠보교실,서울특별시 구로구 구로중앙로 134 신구로자이 나인스에비뉴,11,11530,126.883999,37.499807,서울,2021-12-31
배키맴,서울특별시 노원구 동일로207길 50 북부여성창업보육센터 205-A 배키맴,11,11350,127.061674,37.642978,서울,2021-12-31
뉴신사매듭,서울특별시 동대문구 난계로 246 드림빌리지 오피스텔 2층 201호,11,11230,127.023671,37.573506,서울,2021-12-31
우리살림,서울특별시 동대문구 전농1동 440-25,11,11230,127.051229,37.575921,서울,2021-12-31
뷰티프리즘,서울특별시 마포구 양화로 125 경남관광빌딩 1층  2층,11,11440,126.920302,37.554739,서울,2021-12-31
미루규방,서울특별시 마포구 양화로 157 파라다이스텔,11,11440,126.922934,37.556691,서울,2021-12-31
갤러리온,서울특별시 서대문구 성산로13길 25,11,11410,126.925792,37.567304,서울,2021-12-31
코리아굿,서울특별시 서대문구 세검정로 140,11,11410,126.952752,37.595821,서울,2021-12-31
꼼지락규방,서울특별시 서대문구 연희로11마길 12,11,11410,126.928009,37.569009,서울,2021-12-31
황소라 조각보 스튜디오,서울특별시 서초구 반포대로21길 67 501동,11,11650,127.007898,37.485784,서울,2021-12-31
코리아타운,서울특별시 서초구 서초대로30길 7-15 지층 우측,11,11650,126.996828,37.488295,서울,2021-12-31
농협전통공예품전문점,서울특별시 서초구 청계산로 9,11,11650,127.046418,37.462079,서울,2021-12-31
라라플러스,서울특별시 성동구 마장로 137,11,11200,127.024743,37.569424,서울,2021-12-31
칠보7070,서울특별시 성동구 한림말3길 30,11,11200,127.015597,37.543588,서울,2021-12-31
다가온매듭,서울특별시 성동구 행당로 84 한진타운종합상가 1층 119호,11,11200,127.026594,37.55505,서울,2021-12-31
포크샵,서울특별시 성북구 월곡로10길 146,11,11290,127.039353,37.593584,서울,2021-12-31
금청아트,서울특별시 송파구 송이로14길 15 B1,11,11710,127.117915,37.498596,서울,2021-12-31
전통연지기,서울특별시 송파구 송파대로30길 8,11,11710,127.118419,37.494257,서울,2021-12-31
까치와호랑이,서울특별시 송파구 올림픽로 240 롯데월드,11,11710,127.097033,37.511251,서울,2021-12-31
전통이음,서울특별시 송파구 충민로 10 가든파이브 툴관 3층 E 30호,11,11710,127.121709,37.477882,서울,2021-12-31
예다온,서울특별시 영등포구 경인로 775 에이스하이테크시티 1동 707호,11,11560,126.897577,37.514748,서울,2021-12-31
전통오색한지공예,서울특별시 영등포구 국회대로 574-2 유성빌딩,11,11560,126.897822,37.527311,서울,2021-12-31
송원공방,서울특별시 영등포구 도림로 462,11,11560,126.892358,37.515789,서울,2021-12-31
도성상회,서울특별시 영등포구 영중로24길 19-1,11,11560,126.907435,37.52212,서울,2021-12-31
이솜,서울특별시 용산구 백범로99길 46,11,11170,126.972031,37.536107,서울,2021-12-31
무지개기프트샵,서울특별시 용산구 이태원로 169-1,11,11170,126.992859,37.534593,서울,2021-12-31
하이핸드코리아 서울역점,서울특별시 용산구 청파로 378 서울역 2F,11,11170,126.970074,37.551723,서울,2021-12-31
두레공예,서울특별시 용산구 한강대로 182 우리은행용산지점,11,11170,126.973558,37.534463,서울,2021-12-31
성화공방,서울특별시 용산구 한강대로54길 7 우석빌딩,11,11170,126.972053,37.532855,서울,2021-12-31
묘규방,서울특별시 은평구 연서로26길 30,11,11380,126.921759,37.615409,서울,2021-12-31
고섶,서울특별시 은평구 연서로26길 9-4,11,11380,126.920874,37.617077,서울,2021-12-31
한국전통등연구원,서울특별시 은평구 연서로35길 22,11,11380,126.925889,37.622781,서울,2021-12-31
참디자인,서울특별시 은평구 통일로68가길 1,11,11380,126.929177,37.612305,서울,2021-12-31
리기태전통연공방,서울특별시 은평구 통일로92길 39-1 NNH빌딩,11,11380,126.924116,37.626324,서울,2021-12-31
소반,서울특별시 종로구 계동6길 4,11,11110,126.987007,37.582433,서울,2021-12-31
가원공방,서울특별시 종로구 돈화문로6나길 45,11,11110,126.992294,37.572369,서울,2021-12-31
비강매듭,서울특별시 종로구 동호로 398 마전교지하쇼핑센터,11,11110,127.002289,37.569949,서울,2021-12-31
고은방,서울특별시 종로구 동호로 398 마전교지하쇼핑센터,11,11110,127.002289,37.569949,서울,2021-12-31
자개이야기진주쉘 삼청점,서울특별시 종로구 북촌로 42-3,11,11110,126.985288,37.58067,서울,2021-12-31
금박연,서울특별시 종로구 북촌로12길 24-12,11,11110,126.986235,37.582616,서울,2021-12-31
북촌전통공예체험관,서울특별시 종로구 북촌로12길 24-5,11,11110,126.98601,37.582469,서울,2021-12-31
하늘물빛 전통 천연염색 연구소,서울특별시 종로구 북촌로15길 48,11,11110,126.983362,37.58487,서울,2021-12-31
보은,서울특별시 종로구 서순라길 41,11,11110,126.993347,37.572387,서울,2021-12-31
성종사,서울특별시 종로구 우정국로 43,11,11110,126.982756,37.572863,서울,2021-12-31
갤러리미르,서울특별시 종로구 율곡로1길 40,11,11110,126.98071,37.577621,서울,2021-12-31
우리미,서울특별시 종로구 인사동10길 12,11,11110,126.985626,37.574105,서울,2021-12-31
